,experiment,server_round,total_num_clients,total_num_examples,accuracy,loss,training_time,val_accuracy,val_loss,evaluation_total_num_clients,evaluation_total_num_examples,evaluation_accuracy,evaluation_loss,evaluation_time,batch_size,epochs,validation_split
0,1,1,5,50000.0,0.1250666663050651,2.4430019855499268,21.71396628320001,0.0890000015497207,2.302986860275269,5,10000.0,0.1000000014901161,2.3028247356414795,0.8294503053999961,32,1,0.1
1,1,2,5,50000.0,0.1349111109972,2.3671476364135744,6.4681319412,0.0890000015497207,2.303675413131714,5,10000.0,0.1000000014901161,2.303730010986328,0.6611407186000179,32,1,0.1
2,1,3,5,50000.0,0.1488444447517395,2.308446931838989,6.506781284999988,0.0900000005960464,2.305605983734131,5,10000.0,0.1000000014901161,2.305974006652832,0.616524150600003,32,1,0.1
3,1,4,5,50000.0,0.1614222198724746,2.2566919326782227,6.541470852000021,0.0890000015497207,2.3082353591918947,5,10000.0,0.1000000014901161,2.3088507652282715,0.6651414003999889,32,1,0.1
4,1,5,5,50000.0,0.1897333353757858,2.1597033977508544,6.752468422800007,0.0890000015497207,2.31282434463501,5,10000.0,0.1000000014901161,2.313734531402588,0.6553312345999984,32,1,0.1
5,1,6,5,50000.0,0.2129111111164093,2.072445583343506,6.630943155199974,0.0890000015497207,2.3196209907531737,5,10000.0,0.1000000014901161,2.320145845413208,0.6116589884000178,32,1,0.1
6,1,7,5,50000.0,0.2414666652679443,2.002250623703003,6.45299748880002,0.0890000015497207,2.326607370376587,5,10000.0,0.1000000014901161,2.3271483898162844,0.6441087035999999,32,1,0.1
7,1,8,5,50000.0,0.2567111164331436,1.9475483179092408,6.116162807600016,0.0890000015497207,2.3329563617706297,5,10000.0,0.1000000014901161,2.333861970901489,0.5321848372000204,32,1,0.1
8,1,9,5,50000.0,0.2774444460868835,1.903279423713684,5.805383284799996,0.0890000015497207,2.336905527114868,5,10000.0,0.1000000014901161,2.337532091140747,0.5506410105999976,32,1,0.1
9,1,10,5,50000.0,0.2920888841152191,1.8716039896011352,5.836328926999999,0.0900000005960464,2.3429861545562742,5,10000.0,0.1000000014901161,2.3435726165771484,0.553397809399985,32,1,0.1
10,1,11,5,50000.0,0.3104222178459167,1.825742506980896,5.8302401431999895,0.0909999996423721,2.3461475372314453,5,10000.0,0.1000000014901161,2.346590566635132,0.550839160400028,32,1,0.1
11,1,12,5,50000.0,0.3186000049114227,1.807363247871399,5.8304742810000105,0.0909999996423721,2.350579309463501,5,10000.0,0.1000000014901161,2.3510179042816164,0.5493754903999843,32,1,0.1
12,1,13,5,50000.0,0.3323111116886139,1.7752020835876463,5.848203787599959,0.0900000005960464,2.351702070236206,5,10000.0,0.1000000014901161,2.353294849395752,0.5375401468000746,32,1,0.1
13,1,14,5,50000.0,0.3426666617393493,1.7530509233474731,5.822399889999997,0.0890000015497207,2.351856994628906,5,10000.0,0.1000000014901161,2.353046941757202,0.5314046124000015,32,1,0.1
14,1,15,5,50000.0,0.3534666657447814,1.7276793718338013,5.721088348000013,0.0890000015497207,2.348727989196777,5,10000.0,0.1000000014901161,2.350457620620728,0.5258473910000703,32,1,0.1
15,1,16,5,50000.0,0.3605555534362793,1.7075075149536132,5.7236372790000125,0.0890000015497207,2.3436646461486816,5,10000.0,0.1000000014901161,2.346246433258057,0.5298014490000241,32,1,0.1
16,1,17,5,50000.0,0.3689777791500092,1.684849238395691,5.723510799400038,0.0900000005960464,2.3456389904022217,5,10000.0,0.1000000014901161,2.347902631759644,0.5302636688000348,32,1,0.1
17,1,18,5,50000.0,0.3762666642665863,1.6691902160644532,5.707630176200018,0.0890000015497207,2.342232370376587,5,10000.0,0.1000000014901161,2.3460129261016847,0.5344686973999615,32,1,0.1
18,1,19,5,50000.0,0.3831111073493957,1.6503658771514893,5.687465294599952,0.0890000015497207,2.336516523361206,5,10000.0,0.1000000014901161,2.3414612293243406,0.5235741248000068,32,1,0.1
19,1,20,5,50000.0,0.3914444386959076,1.632247757911682,5.7009614016000345,0.090200001001358,2.327772808074952,5,10000.0,0.1000000014901161,2.332967185974121,0.5253339803999552,32,1,0.1
20,1,21,5,50000.0,0.3986444473266601,1.6173319578170775,5.720873236799981,0.1168000012636184,2.3138846874237062,5,10000.0,0.1121999993920326,2.322090435028076,0.5306105185999967,32,1,0.1
21,1,22,5,50000.0,0.4044888913631439,1.597715973854065,5.701713204399994,0.1511999994516372,2.256440258026123,5,10000.0,0.155799999833107,2.2620097637176517,0.5313614565999615,32,1,0.1
22,1,23,5,50000.0,0.4100666642189026,1.585378885269165,5.716858204200024,0.1972000002861023,2.1798484325408936,5,10000.0,0.2197999984025955,2.1764316082000734,0.537061289399935,32,1,0.1
23,1,24,5,50000.0,0.4153555512428283,1.5751805305480957,5.736897809400033,0.2517999976873398,2.094741439819336,5,10000.0,0.2759999930858612,2.080322599411011,0.5378552196000328,32,1,0.1
24,1,25,5,50000.0,0.4219555556774139,1.5581589937210083,5.760721639199938,0.327400004863739,1.969236636161804,5,10000.0,0.3566999971866608,1.93879873752594,0.5501730491999751,32,1,0.1
25,1,26,5,50000.0,0.4268222212791442,1.5459675312042236,5.720379356000013,0.3613999962806701,1.8515766859054563,5,10000.0,0.4019999980926513,1.8020452499389648,0.5280037162000554,32,1,0.1
26,1,27,5,50000.0,0.4341555535793304,1.52878839969635,5.751129555599983,0.3849999964237213,1.7593029975891112,5,10000.0,0.4181999981403351,1.7118273496627807,0.5363759295999898,32,1,0.1
27,1,28,5,50000.0,0.4354444444179535,1.5256771326065064,5.76796175100003,0.4111999988555908,1.6760527849197389,5,10000.0,0.4348000049591064,1.6283732414245606,0.5290956876000109,32,1,0.1
28,1,29,5,50000.0,0.4438222229480743,1.5064704895019532,5.756800141799931,0.4023999989032745,1.6653944253921509,5,10000.0,0.4383000075817109,1.582351565361023,0.530694526400066,32,1,0.1
29,1,30,5,50000.0,0.448333328962326,1.4965484619140623,5.736105139399979,0.418800002336502,1.5993098497390748,5,10000.0,0.4500000059604644,1.5248215913772585,0.5377726385999722,32,1,0.1
30,1,31,5,50000.0,0.4508444428443909,1.4864274263381958,5.730091782800036,0.4219999969005585,1.5802908658981325,5,10000.0,0.4532999992370605,1.502863311767578,0.5345911143999729,32,1,0.1
31,1,32,5,50000.0,0.4556000053882599,1.4759121656417846,5.749703369800044,0.4237999975681304,1.5776958465576172,5,10000.0,0.4490000069141388,1.5047905445098877,0.5389565859999493,32,1,0.1
32,1,33,5,50000.0,0.4653333365917206,1.4623894929885863,5.708329208800069,0.4360000014305115,1.547571611404419,5,10000.0,0.4651000022888184,1.4659003257751464,0.5440676801999871,32,1,0.1
33,1,34,5,50000.0,0.46653333902359,1.4512811183929444,5.76431489319998,0.4342000067234039,1.5461887836456298,5,10000.0,0.466700005531311,1.4588683128356934,0.52361150859997,32,1,0.1
34,1,35,5,50000.0,0.4694222211837768,1.4464272499084472,5.710689582399982,0.4465999960899353,1.5249544620513915,5,10000.0,0.4675000011920929,1.4443938732147217,0.5351211587998932,32,1,0.1
35,1,36,5,50000.0,0.4755333364009857,1.441377305984497,5.722393965599941,0.4491999983787537,1.5094725847244264,5,10000.0,0.4731000006198883,1.4362268209457398,0.5243440909999209,32,1,0.1
36,1,37,5,50000.0,0.4783555507659912,1.429908275604248,5.689952265000057,0.44200000166893,1.5167039155960085,5,10000.0,0.4714999973773956,1.4400909900665284,0.5473480901999664,32,1,0.1
37,1,38,5,50000.0,0.4803777813911438,1.423487091064453,5.714527323200036,0.4382000029087066,1.5400002241134645,5,10000.0,0.4691000044345855,1.4441662549972534,0.5373305688000982,32,1,0.1
38,1,39,5,50000.0,0.4821333348751068,1.4137048959732057,5.724247882200051,0.4568000018596649,1.4976954936981202,5,10000.0,0.4800000011920929,1.422621202468872,0.5303200002000267,32,1,0.1
39,1,40,5,50000.0,0.4862222194671631,1.409158444404602,5.7164918831999785,0.4515999972820282,1.5211310148239137,5,10000.0,0.4770000040531158,1.4196946144104003,0.5301489852000486,32,1,0.1
40,1,41,5,50000.0,0.4907777726650238,1.4000690221786498,5.756210550600053,0.4533999979496002,1.5095824480056763,5,10000.0,0.4839999973773956,1.410875940322876,0.5351207371999862,32,1,0.1
41,1,42,5,50000.0,0.4923555672168732,1.3916828393936158,5.713560469800041,0.4570000052452087,1.4952267408370972,5,10000.0,0.4816999971866608,1.406131625175476,0.5251313363999998,32,1,0.1
42,1,43,5,50000.0,0.4985555589199066,1.3773114681243896,5.725576776399976,0.4593999981880188,1.50366690158844,5,10000.0,0.4884999930858612,1.3985292434692382,0.5308308508000209,32,1,0.1
43,1,44,5,50000.0,0.4985555589199066,1.3758272409439087,5.695433419200026,0.4634000062942505,1.505666971206665,5,10000.0,0.4843999981880188,1.4005099534988403,0.5335983509999551,32,1,0.1
44,1,45,5,50000.0,0.5057555556297302,1.3586238622665403,5.712956594000025,0.465200001001358,1.4961543560028077,5,10000.0,0.4860000014305115,1.4003519535064697,0.5295829637999759,32,1,0.1
45,1,46,5,50000.0,0.5048222303390503,1.358567976951599,5.707334965600057,0.4599999964237213,1.4855339288711549,5,10000.0,0.4925000011920929,1.3818530082702636,0.5215062384000249,32,1,0.1
46,1,47,5,50000.0,0.5082222104072571,1.3504522085189818,5.729707377200066,0.4523999989032745,1.5171222925186156,5,10000.0,0.4923999965190887,1.3926696300506591,0.5275589011999727,32,1,0.1
47,1,48,5,50000.0,0.509755551815033,1.3461628675460815,5.700916949200018,0.4650000095367431,1.468582844734192,5,10000.0,0.4996000051498413,1.3795931816101077,0.5268774399999984,32,1,0.1
48,1,49,5,50000.0,0.5134222269058227,1.3390953063964843,5.71720081440003,0.4675999999046326,1.465546679496765,5,10000.0,0.5007999897003174,1.379627346992493,0.5382095502000084,32,1,0.1
49,1,50,5,50000.0,0.5171555519104004,1.3278074502944943,5.739838947800035,0.4643999993801116,1.471321630477905,5,10000.0,0.49789999127388,1.3826526165008546,0.5272922203999769,32,1,0.1
50,1,51,5,50000.0,0.5177777767181396,1.3265761137008667,5.705864010600044,0.4827999949455261,1.4514805555343628,5,10000.0,0.5059000015258789,1.36111159324646,0.5238379117999556,32,1,0.1
