,batch_size,epochs,max_accuracy,final_accuracy,min_loss,final_loss,max_training_time,min_training_time,mean_training_time
1,32,1,0.5573000073432922,0.5573000073432922,1.2488672733306885,1.2488672733306885,21.71396628320001,5.627656055000035,5.999251112720003
2,32,2,0.5984000086784362,0.5947000026702881,1.1880417346954346,1.2213079690933228,18.14386761979986,11.019285446400046,11.292139409987994
3,32,3,0.595900011062622,0.595900011062622,1.2206121921539306,1.406503677368164,23.73522446020015,16.521626306200233,16.82249775065998
4,32,4,0.6049000024795532,0.6010999917984009,1.202315354347229,1.494580578804016,29.501635344199897,22.164296167200156,22.41545036018197
5,32,5,0.5924000024795533,0.5906000018119812,1.26438307762146,1.728939938545227,34.71812314840063,27.448680534599767,27.735782763543966
6,64,1,0.5034000098705291,0.4984999895095825,1.3776847124099731,1.406279969215393,11.252592148249732,4.1309645043998895,4.279131996260482
7,64,2,0.5261000037193299,0.5152999997138977,1.3753873109817505,1.5207289218902589,15.333809897500032,8.08417993359908,8.270057703502953
8,64,3,0.5260999917984008,0.51910001039505,1.4116578578948975,1.7408167123794556,19.210033217999804,12.031990885999766,12.213359847641975
9,64,4,0.5455000042915344,0.5416000008583068,1.3631129741668702,1.873079514503479,23.11782311620045,15.962788492398976,16.189339528144114
10,64,5,0.5360000014305115,0.535699999332428,1.4279268264770508,2.2188977718353278,27.284733597000017,20.012105385400357,20.268329761182073
11,128,1,0.3344000041484832,0.3344000041484832,1.85885751247406,1.85885751247406,10.784342214600477,3.294372538400057,3.4051182765099806
12,128,2,0.455100005865097,0.451499992609024,1.5050428867340089,1.6867424488067626,13.89024469559954,6.40341528719946,6.563644042196043
13,128,3,0.4703999996185303,0.464599996805191,1.4871649503707889,1.9295580863952635,17.230026566200102,9.57363854119976,9.733500662811851
14,128,4,0.4732000052928924,0.4657000005245209,1.4837541103363037,2.222844696044922,20.235422959599237,12.746337611799389,12.891709325229945
15,128,5,0.4677999973297119,0.4677999973297119,1.5291583776473998,2.526757287979126,23.43722360480097,15.850699941999483,16.06356356433391
16,256,1,0.1000000014901161,0.1000000014901161,2.302586317062378,2.3302978038787843,10.868579134999164,2.9578761415999906,3.060472609517965
17,256,2,0.3212000012397766,0.3212000012397766,1.8888814210891725,1.8888814210891725,13.663652382598958,5.748655087802035,5.852694014920111
18,256,3,0.427700001001358,0.4212000012397766,1.6216427564620972,1.8423544883728027,16.484954110997204,8.51028764359944,8.64994581970216
19,256,4,0.4159999966621399,0.4123000025749206,1.663107442855835,2.2917401790618896,24.67628879540001,11.303841344199991,11.526738924124002
20,256,5,0.4351999998092651,0.4190000057220459,1.5773271322250366,2.4547432899475097,21.961080010999968,14.08959439500004,14.259699120564001
21,512,1,0.1000000014901161,0.1000000014901161,2.3025851249694824,2.3093717098236084,12.519312002999866,2.865839445399979,2.986651885336006
22,512,2,0.1000000014901161,0.1000000014901161,2.302587509155273,2.380713939666748,15.19425237725022,5.549357541200152,5.698713004054489
23,512,3,0.1000000014901161,0.1000000014901161,2.30259108543396,2.433578062057495,23.198151748999997,8.26274290340002,8.476826328772002
24,512,4,0.2912000000476837,0.2912000000476837,1.9256189107894897,1.9256189107894897,20.502453322000065,10.946332744400024,11.137927331596
25,512,5,0.3639999985694885,0.3576999962329864,1.862130093574524,2.1247991561889648,23.24366054439997,13.700921065000056,13.900745494128019
